mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,SHAP_mw,SHAP_fsp3,SHAP_n_lipinski_hba,SHAP_n_lipinski_hbd,SHAP_n_rings,SHAP_n_hetero_atoms,SHAP_n_heavy_atoms,SHAP_n_rotatable_bonds,SHAP_tpsa,SHAP_qed,SHAP_clogp,SHAP_sas,SHAP_n_aliphatic_carbocycles,SHAP_n_aliphatic_heterocyles,SHAP_n_aliphatic_rings,SHAP_n_aromatic_carbocycles,SHAP_n_aromatic_heterocyles,SHAP_n_aromatic_rings,SHAP_n_saturated_carbocycles,SHAP_n_saturated_heterocyles,SHAP_n_saturated_rings
432,0,8,2,4,9,31,6,109,0,4,2,0,0,0,2,2,4,0,0,0,-0.07386089,-0.007733245,-0.06869626,-0.04121232,-0.03558263,-0.028358074,-0.01906153,-0.21652524,-0.85503197,0.0,0.05182329,-0.0697783,-0.005510497,0.044287033,0.011183875,0.025246065,0.022527484,0.02874857,-0.030381346,0.0049257353,-0.050045628
602,0,5,2,5,7,36,8,62,0,6,3,0,0,0,4,1,5,0,0,0,0.17438327,-0.0075886864,-0.099909864,0.0511854,-0.045907993,0.037151314,0.10863677,0.026894739,-0.014024048,0.0,0.12873925,-0.028847873,0.0035241228,0.04081593,0.0033074885,-0.1699076,-0.020852426,-0.099333376,-0.019831948,-0.007891771,-0.05112034
323,0,9,2,2,10,22,7,123,0,1,2,0,0,0,1,1,2,0,0,0,-0.008683669,-0.007986314,0.15249445,-0.07316039,-0.05052267,0.0698143,-0.075436056,-0.10589731,-0.36511326,0.0,-0.10191923,-0.034587804,-0.010064091,0.056477763,0.008978026,0.033120845,0.023359986,-0.016227074,-0.014913561,0.010256113,-0.03298892
392,0,8,2,3,10,26,9,110,0,3,2,0,0,0,1,2,3,0,0,0,0.036795646,-0.0075399624,-0.041537974,-0.02714127,-0.005212822,0.06311045,-0.001141952,0.09682345,-0.62754923,0.0,-0.13380948,-0.052552238,-0.011163104,0.058802597,-0.0030552507,0.055765573,0.018420173,-0.017941987,-0.026172739,0.013363488,-0.03925691
324,0,7,3,1,7,23,10,96,0,2,2,0,0,0,1,0,1,0,0,0,-0.0030020177,-0.0066399532,0.16735129,0.25107843,0.2578975,0.015923603,-0.021775682,0.347758,-0.0583608,0.0,-0.10377345,-0.03639836,-0.0075221076,0.07811401,0.028673438,0.05493486,0.009417687,0.083963186,-0.011734592,0.015868053,-0.040012036
386,0,6,4,3,7,27,5,109,0,3,2,1,0,1,1,1,2,1,0,1,-0.05076899,-0.008076333,-0.046893384,0.16873495,0.016961167,-0.046264544,-0.002707264,-0.16455047,-0.5402256,0.0,-0.06797958,-0.039405867,0.0032218383,0.046515763,-0.088488266,0.033300523,-0.015000519,-0.04881393,0.0458443,0.010694674,-0.058951892
717,0,12,4,5,13,52,15,148,0,4,4,0,2,2,2,1,3,0,1,1,0.18461189,-0.0070956205,0.04548621,-0.018158976,-0.07781087,-0.07531701,0.04621269,0.15013628,-0.39207548,0.0,0.0973378,0.0406954,-0.0061961873,-0.29230508,-0.028059967,-0.045469154,-0.013704637,-0.009224314,-0.023944344,-0.049975306,-0.042267814
620,0,7,0,7,10,41,5,80,0,7,5,1,4,5,2,0,2,1,4,5,0.07438022,-0.00819807,0.116995275,-0.08639746,0.059874292,0.11780787,0.10032649,-0.082469225,0.09346346,0.0,0.16537628,0.22092254,0.032981444,0.09127909,0.16605708,0.03595784,-0.017994886,-0.055307914,0.07482177,0.34672454,0.7764356
347,0,5,3,3,5,26,6,80,0,3,2,0,0,0,3,0,3,0,0,0,0.09548248,-0.007149826,-0.059613593,0.40871033,0.048140038,0.14202388,0.06496291,-0.0665343,0.23181576,0.0,0.027072247,-0.011945179,0.012164204,0.04721107,0.07185496,-0.0093303,-0.0006530366,0.0551027,-0.0075703054,0.010340315,-0.041416973
248,0,9,2,2,9,18,3,114,0,0,2,0,0,0,1,1,2,0,0,0,-0.06394243,-0.007506687,0.12051191,-0.038619682,-0.007874641,0.012788641,-0.021553606,0.1726424,-0.10777445,0.0,0.11635975,-0.039371975,-0.008318174,0.051784478,-0.00044162318,0.030742187,0.034906503,0.003536437,-0.0022383865,0.016481902,-0.016044632
592,0,12,2,5,12,42,10,132,0,5,4,2,2,4,1,0,1,2,2,4,0.20776208,-0.006466851,0.22755265,0.03286881,-0.05341356,0.043970473,0.07219461,0.22719252,-0.09255584,0.0,0.1579133,0.04774492,0.071654566,-0.18932277,-0.14206678,0.069068484,-0.033366416,0.052141707,0.19750957,-0.06596355,0.015996275
303,0,4,2,4,4,23,1,62,0,3,2,0,0,0,3,1,4,0,0,0,0.0129372785,-0.008091499,-0.057928946,-0.026587028,0.024040572,0.0055829636,-0.18651375,0.121170245,0.032965094,0.0,-0.0537934,-0.0083126845,0.0010220138,0.022695731,0.009768257,-0.06655263,0.025085889,0.02449334,-0.011328833,0.0055907015,-0.040913835
349,0,8,2,2,12,20,2,98,0,-1,3,0,2,2,0,0,0,0,2,2,-0.06251063,-0.008901389,0.03936624,-0.013592997,-0.08080226,0.029286025,-0.060082525,0.027459335,-0.15598492,0.0,-0.22397487,0.031202449,-0.022072898,-0.20822354,-0.013872154,-0.013484324,-0.07870711,-0.025612345,-0.021386128,-0.14177938,-0.054704044
316,0,2,0,5,3,23,0,17,0,5,2,0,2,2,3,0,3,0,0,0,0.1958992,-0.008572687,0.0014928277,-0.10372753,0.07136142,-0.12271464,-0.073361635,0.2854596,0.63718003,0.0,0.23616391,-0.004948704,0.0067268903,-0.035986975,0.01722287,-0.00630316,0.031661857,-0.023723993,-0.012415642,0.016828602,-0.039468814
331,0,6,2,5,6,25,2,78,0,2,2,1,0,1,1,3,4,1,0,1,0.0137487855,-0.007866248,-0.006752877,0.05676749,0.022945978,0.037670128,-0.050584495,0.018219769,0.15704712,0.0,-0.2302278,-0.018467803,0.020753121,0.04641055,-0.006260227,-0.02120939,-0.023163605,0.06977011,0.06705184,0.016730161,-0.053515796
638,0,12,3,6,13,46,10,135,0,4,3,0,1,1,2,3,5,0,1,1,-0.048916023,-0.0070753093,0.027698934,0.10254532,-0.024930643,-0.20771994,0.108729966,0.22209638,-0.32727727,0.0,0.084757075,-0.063866444,-0.0079342015,0.018889701,-0.001468374,-0.028318672,-0.019673647,-0.10498036,-0.024493651,-0.039561726,-0.027523527
522,0,5,2,5,6,38,8,62,0,6,3,0,0,0,4,1,5,0,0,0,0.028867204,-0.0077551715,-0.11895518,0.051229812,-0.03833505,0.017477253,0.16674916,0.030969186,-0.008707513,0.0,0.12156214,-0.01635684,0.003214472,0.03669099,0.005891019,-0.17620108,-0.01950926,-0.0990825,-0.020681795,-0.008542135,-0.052441034
386,0,6,3,3,7,27,8,79,0,3,2,0,0,0,1,2,3,0,0,0,0.042063244,-0.0067189727,-0.0011169948,0.31501174,0.054581035,0.016860327,0.035232943,0.2414709,0.21104178,0.0,-0.07366975,-0.01486621,0.0021455707,0.06925576,0.05327236,0.067583576,0.07575409,0.028123688,-0.01802867,0.014262782,-0.035431907
