canonical_smiles,uM_value
O=C(/C=C/c1ccc(O)c(O)c1)NC(=O)c1ccccc1O,1.469
COc1cccc(C(=O)NC(=S)Nn2cnnc2)c1OC,2.08
CCOC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)C1C2CCC(O2)C1C(=O)O,38.528
O=C(CSc1nnc(-c2ccccc2)o1)Nn1cnnc1,2.091
Cc1c(C(=O)Nn2cnnc2)oc2ccccc12,0.6638
O=C(/C=C/c1ccccc1)Nn1cnnc1,1.761
CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3.Cl,3.103
O=C(Nc1cccc([N+](=O)[O-])c1)Nn1cnnc1,0.93
Cc1cc(NC(=O)NC2(C(F)(F)F)Oc3ccc(Cl)cc3O2)no1,1.693
CC1(C)CC2(CC(c3ccccc3F)c3ccc(O)c(O)c3O2)N=C(S)N1,1.76
O=C(Nn1cnnc1)c1ccccc1-c1ccccc1,2.888
O=C(CNC(=O)c1ccccc1)NCCc1ccc(O)c(O)c1,1.805
Cc1csc(NC(=O)NC2(C(F)(F)F)Oc3ccccc3O2)n1,2.021
Cc1ccc([N+](=O)[O-])cc1-c1[nH]c(-c2ccc(O)c(O)c2)nc1-c1ccccc1,1.691
O=C(CSc1nc[nH]n1)OCN1C(=O)c2ccccc2C1=O,0.35049
C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,1.22
O=C(Nc1ccc(Cl)cc1Cl)Nn1cnnc1,0.79132
Cl.O=C(CSc1nc[nH]n1)Nc1ccc([N+](=O)[O-])cc1Br,0.975
COc1ccc(NC(=O)NNC(=O)CCc2ccc(O)c(O)c2)cc1OC,2.512
O=C(NCCc1ccc(O)c(O)c1)C1COc2ccccc2O1,2.11
CCOC(=O)c1ccc(NC(=O)Nn2cnnc2)cc1,2.09
Cc1ccc(-n2sc3ccccc3c2=O)cc1S(=O)(=O)N1CCCCC1,4.284
Cl.Oc1ccc(CCNc2c3ccccc3nc3ccccc23)cc1O,2.487
O=C1/C(=C/Nn2cnnc2)c2ccccc2C(=O)N1c1ccccc1,1.861
O=C(Nc1cccc(Cl)c1Cl)Nn1cnnc1,0.63063
O=C(Nc1ccc(F)c(Cl)c1)Nn1cnnc1,1.457
Cc1ccc(N2C(=O)/C(=C/Nn3cnnc3)c3ccccc3C2=O)cc1,1.67
c1ccc(NCn2cncn2)nc1,2.565
O=C(Nc1ccc(Br)cc1Cl)Nn1cnnc1,0.71131
Cc1c(C(=O)c2no[n+]([O-])c2C(=O)c2cnn(C)c2C)cnn1C,1.583
Sc1n[nH]c(-c2ccccc2Br)n1,19.282
Sc1n[nH]c(-c2ccccc2Cl)n1,16.315
O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Oc1ccccc1O,3.266
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccc(C)cc1,0.35082
O=C(CSc1nc[nH]n1)Nc1nc(-c2ccccc2)ns1,0.4423
O=C(Nn1cnnc1)c1csc2ccccc12,2.168
Cc1cccc(N=C(S)Nn2cnnc2)c1C,1.896
COc1cccc(-c2cc(C(=O)Nn3cnnc3)c3ccccc3n2)c1,1.873
O=C(NC1(C(F)(F)F)Oc2ccccc2O1)N1CCC2(CC1)OCCO2,2.784
O=C(O)c1c[nH]nc1-n1cnnn1,1.272
Oc1ccc(-c2csc(-c3ccccc3)n2)cc1O,2.785
